q,No. of optimum,Total,Optimality (%),Max. dev. (%)
0.1,27876,32000,87.11,2.9054
0.2,27860,32000,87.06,2.9054
0.3,27823,32000,86.95,2.9054
0.4,27793,32000,86.85,2.9054
0.5,27756,32000,86.74,2.9054
0.6,27719,32000,86.62,2.9054
0.7,27680,32000,86.5,2.9054
0.8,27652,32000,86.41,3.7107
0.9,27644,32000,86.39,3.7107
1,27628,32000,86.34,3.7107
1.1,27617,32000,86.3,3.7107
1.2,27630,32000,86.34,2.9054
1.3,27645,32000,86.39,2.9054
1.4,27669,32000,86.47,2.9054
1.5,27693,32000,86.54,2.9054
1.6,27720,32000,86.62,2.9054
1.7,27739,32000,86.68,2.9054
1.8,27755,32000,86.73,2.9054
1.9,27783,32000,86.82,2.9054
2,27803,32000,86.88,2.9054
2.1,27833,32000,86.98,2.9054
2.2,27839,32000,87,2.9054
2.3,27845,32000,87.02,2.9054
2.4,27853,32000,87.04,2.9054
2.5,27866,32000,87.08,2.9054
2.6,27875,32000,87.11,2.9054
2.7,27872,32000,87.1,2.9054
2.8,27870,32000,87.09,2.9054
2.9,27873,32000,87.1,2.9054
3,27878,32000,87.12,2.9054
