N,G_star,T_star,F_star,K_star
1,2310.9228450598725,0.03068903842965063,0.052096900234436055,[1.0]
2,4093.8413525182123,0.024607695151164715,0.02490892673661924,"[1.0, 1.0]"
3,5033.383662002111,0.02608185841088482,0.022676379715978346,"[1.0, 1.0, 1.0]"
4,5607.415366166188,0.026728892049684837,0.021850162510583675,"[1.0, 1.0, 1.0, 1.0]"
5,6861.827630819467,0.024690215073176817,0.01818347122465679,"[1.0, 1.0, 1.0, 1.0, 1.0]"
6,8280.030646631321,0.02336947872031419,0.01291739327003811,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
7,9672.67002423603,0.02355089126675674,0.011833969409189078,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
8,10820.196749199957,0.024358152269226305,0.010485477613505297,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
9,11584.676876098742,0.025670116066296857,0.00948316737790422,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
10,12401.507710437352,0.026754811410611843,0.008783487044356612,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
11,13128.449129673527,0.026572064724043692,0.008658383479804322,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0]"
12,13774.31128762799,0.026274271899537044,0.008095363380623749,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0]"
13,14176.161530197298,0.02698967553275862,0.007411524921252548,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0]"
14,15518.085831074786,0.026921490481991047,0.006822736770286983,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0]"
15,17225.76153055323,0.025970985329531147,0.006032909521439454,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0]"
16,17496.157171250477,0.026149170673419427,0.005871214901143421,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
17,18926.16031802683,0.02597938471078437,0.0055703324095865425,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
18,20849.701803041164,0.025062708567073134,0.005256172717835509,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
19,22429.08617687463,0.024243074181088578,0.00505356781888013,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
20,23405.16730349874,0.024726591034172532,0.004802958622511468,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
21,24263.249204205757,0.025160274077973943,0.004765819542243034,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
22,25603.951300819506,0.025036370069157356,0.00472093380070578,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
23,26666.5617090567,0.025152473997883337,0.004612333379456667,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
24,27808.2512820005,0.02541368002012531,0.0043070031871823575,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
25,28440.521547251687,0.02574952779200239,0.004182131841706309,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
